Date Table.Date.Variation.Date Hierarchy.Month,Date Table.Date.Variation.Date Hierarchy.Year,Superstore.Region,Superstore.State,Sum(Superstore.Sales),Sum(Superstore.Cost),CountNonNull(Superstore.Order ID),CountNonNull(Superstore.Product Name),CountNonNull(Superstore.Customer Name)
May,2018,Central,Texas,3434.8752,3767.5942999999997,30,30,30
June,2018,Central,Texas,3326.8122,3431.7101999999995,21,21,21
July,2018,Central,Texas,2154.79,2262.1895,14,14,14
August,2018,Central,Texas,2566.792,2958.1008,20,20,20
September,2018,Central,Texas,3939.966,3957.215399999999,35,35,35
October,2018,Central,Texas,4143.6502,4347.5169000000005,33,33,33
November,2018,Central,Texas,7968.447,11174.9856,55,55,55
December,2018,Central,Texas,2699.3308,3877.5704,30,30,30
January,2015,Central,Wisconsin,,,,,
February,2015,Central,Wisconsin,468.9,262.584,1,1,1
March,2015,Central,Wisconsin,,,,,
April,2015,Central,Wisconsin,,,,,
May,2015,Central,Wisconsin,148.03,81.0563,3,3,3
June,2015,Central,Wisconsin,,,,,
July,2015,Central,Wisconsin,,,,,
August,2015,Central,Wisconsin,,,,,
September,2015,Central,Wisconsin,,,,,
October,2015,Central,Wisconsin,,,,,
November,2015,Central,Wisconsin,1376.3,1229.3284,6,6,6
December,2015,Central,Wisconsin,2854.48,2168.0056,2,2,2
January,2016,Central,Wisconsin,,,,,
February,2016,Central,Wisconsin,974.9,687.5295,3,3,3
March,2016,Central,Wisconsin,2583.72,1962.1164999999999,6,6,6
April,2016,Central,Wisconsin,330.15,237.70799999999997,2,2,2
May,2016,Central,Wisconsin,,,,,
June,2016,Central,Wisconsin,,,,,
July,2016,Central,Wisconsin,1099.96,813.9704,1,1,1
August,2016,Central,Wisconsin,687.4,639.282,1,1,1
September,2016,Central,Wisconsin,,,,,
October,2016,Central,Wisconsin,,,,,
November,2016,Central,Wisconsin,2233.02,1694.9237999999998,5,5,5
December,2016,Central,Wisconsin,452.66,283.7744,3,3,3
January,2017,Central,Wisconsin,1671.93,1214.9577,2,2,2
February,2017,Central,Wisconsin,547.14,381.4404,2,2,2
March,2017,Central,Wisconsin,16.74,12.3876,1,1,1
April,2017,Central,Wisconsin,1467.89,1089.3562,2,2,2
May,2017,Central,Wisconsin,1309.55,789.1178,9,9,9
June,2017,Central,Wisconsin,,,,,
July,2017,Central,Wisconsin,941.18,675.2547000000001,5,5,5
August,2017,Central,Wisconsin,378.19,300.60659999999996,7,7,7
September,2017,Central,Wisconsin,857.12,587.1660999999999,8,8,8
October,2017,Central,Wisconsin,1649.75,1105.3325,1,1,1
November,2017,Central,Wisconsin,,,,,
December,2017,Central,Wisconsin,4498.13,3452.5218000000004,7,7,7
January,2018,Central,Wisconsin,3.6,1.872,1,1,1
February,2018,Central,Wisconsin,,,,,
March,2018,Central,Wisconsin,2011.58,1517.2199,4,4,4
April,2018,Central,Wisconsin,,,,,
May,2018,Central,Wisconsin,,,,,
June,2018,Central,Wisconsin,,,,,
July,2018,Central,Wisconsin,573.35,366.4004,3,3,3
August,2018,Central,Wisconsin,113.41,80.9573,2,2,2
September,2018,Central,Wisconsin,474.21,303.8111,6,6,6
October,2018,Central,Wisconsin,60.72,30.798000000000002,2,2,2
November,2018,Central,Wisconsin,352.39,226.7599,7,7,7
December,2018,Central,Wisconsin,1978.21,1516.5706999999998,8,8,8
January,2015,East,Connecticut,,,,,
February,2015,East,Connecticut,,,,,
March,2015,East,Connecticut,,,,,
April,2015,East,Connecticut,,,,,
May,2015,East,Connecticut,27.46,17.5744,1,1,1
June,2015,East,Connecticut,21.4,15.194,1,1,1
July,2015,East,Connecticut,455.23,353.9336,4,4,4
August,2015,East,Connecticut,1401.56,1030.9348,6,6,6
September,2015,East,Connecticut,,,,,
October,2015,East,Connecticut,,,,,
November,2015,East,Connecticut,888.37,630.75,3,3,3
December,2015,East,Connecticut,,,,,
January,2016,East,Connecticut,,,,,
February,2016,East,Connecticut,,,,,
March,2016,East,Connecticut,,,,,
April,2016,East,Connecticut,370.14,225.7854,1,1,1
May,2016,East,Connecticut,115.99,82.738,3,3,3
June,2016,East,Connecticut,,,,,
July,2016,East,Connecticut,,,,,
August,2016,East,Connecticut,470.36,348.0664,1,1,1
September,2016,East,Connecticut,301.25,187.1861,5,5,5
October,2016,East,Connecticut,26.9,13.719,1,1,1
November,2016,East,Connecticut,,,,,
December,2016,East,Connecticut,,,,,
January,2017,East,Connecticut,181.797,197.0796,1,1,1
February,2017,East,Connecticut,,,,,
March,2017,East,Connecticut,211.09,117.6434,2,2,2
April,2017,East,Connecticut,67.32,37.9476,2,2,2
May,2017,East,Connecticut,805.59,762.4953,4,4,4
June,2017,East,Connecticut,584.77,425.0933,3,3,3
July,2017,East,Connecticut,,,,,
August,2017,East,Connecticut,,,,,
September,2017,East,Connecticut,48.16,26.0064,1,1,1
October,2017,East,Connecticut,1179.27,867.9224,4,4,4
November,2017,East,Connecticut,80.49,55.6479,3,3,3
December,2017,East,Connecticut,840,649.0992,2,2,2
January,2018,East,Connecticut,3.52,2.4992,1,1,1
February,2018,East,Connecticut,612.12,515.4193,4,4,4
March,2018,East,Connecticut,823.12,608.3012,5,5,5
April,2018,East,Connecticut,403.02,283.7731,4,4,4
May,2018,East,Connecticut,,,,,
June,2018,East,Connecticut,705.03,498.162,4,4,4
July,2018,East,Connecticut,847.46,585.2746,4,4,4
August,2018,East,Connecticut,,,,,
September,2018,East,Connecticut,336.24,200.8236,5,5,5
October,2018,East,Connecticut,13.05,7.047,1,1,1
November,2018,East,Connecticut,,,,,
December,2018,East,Connecticut,1563.65,1126.1484,6,6,6
January,2015,East,Delaware,9.94,6.8586,1,1,1
February,2015,East,Delaware,,,,,
March,2015,East,Delaware,,,,,
April,2015,East,Delaware,19.98,14.7852,1,1,1
May,2015,East,Delaware,,,,,
June,2015,East,Delaware,65.97,34.9641,1,1,1
July,2015,East,Delaware,39.48,28.4256,1,1,1
August,2015,East,Delaware,190.01,120.9051,5,5,5
September,2015,East,Delaware,55.46,31.6326,3,3,3
October,2015,East,Delaware,,,,,
November,2015,East,Delaware,4387.91,3200.5342999999993,7,7,7
December,2015,East,Delaware,17.28,9.3312,1,1,1
January,2016,East,Delaware,580.58,425.122,4,4,4
February,2016,East,Delaware,1558.42,1207.8702,3,3,3
March,2016,East,Delaware,807.54,536.1247000000001,4,4,4
April,2016,East,Delaware,,,,,
May,2016,East,Delaware,,,,,
June,2016,East,Delaware,29.9,24.817,1,1,1
July,2016,East,Delaware,1136.896,876.4902,3,3,3
August,2016,East,Delaware,,,,,
September,2016,East,Delaware,,,,,
October,2016,East,Delaware,527.64,388.9026,3,3,3
November,2016,East,Delaware,1549.36,1121.8385,15,15,15
December,2016,East,Delaware,,,,,
January,2017,East,Delaware,,,,,
February,2017,East,Delaware,,,,,
March,2017,East,Delaware,1256.77,749.5059000000001,5,5,5
April,2017,East,Delaware,,,,,
May,2017,East,Delaware,211.96,169.568,1,1,1
June,2017,East,Delaware,950.23,664.1278,11,11,11
July,2017,East,Delaware,,,,,
August,2017,East,Delaware,,,,,
September,2017,East,Delaware,,,,,
October,2017,East,Delaware,7.92,4.356,1,1,1
November,2017,East,Delaware,164.77,87.7134,3,3,3
December,2017,East,Delaware,128.07,67.7431,3,3,3
January,2018,East,Delaware,,,,,
February,2018,East,Delaware,,,,,
March,2018,East,Delaware,627.48,449.7732,4,4,4
April,2018,East,Delaware,,,,,
May,2018,East,Delaware,299.52,149.76,1,1,1
June,2018,East,Delaware,,,,,
July,2018,East,Delaware,1679.153,1185.3075,10,10,10
August,2018,East,Delaware,,,,,
September,2018,East,Delaware,391.98,278.3058,1,1,1
October,2018,East,Delaware,,,,,
November,2018,East,Delaware,10756.85,5638.3316,3,3,3
December,2018,East,Delaware,,,,,
January,2015,East,District of Columbia,,,,,
February,2015,East,District of Columbia,,,,,
March,2015,East,District of Columbia,,,,,
April,2015,East,District of Columbia,,,,,
May,2015,East,District of Columbia,,,,,
June,2015,East,District of Columbia,,,,,
July,2015,East,District of Columbia,,,,,
August,2015,East,District of Columbia,,,,,
September,2015,East,District of Columbia,,,,,
October,2015,East,District of Columbia,,,,,
November,2015,East,District of Columbia,,,,,
December,2015,East,District of Columbia,,,,,
January,2016,East,District of Columbia,,,,,
February,2016,East,District of Columbia,,,,,
March,2016,East,District of Columbia,,,,,
April,2016,East,District of Columbia,2670.19,1695.8765,3,3,3
May,2016,East,District of Columbia,,,,,
June,2016,East,District of Columbia,,,,,
July,2016,East,District of Columbia,,,,,
August,2016,East,District of Columbia,,,,,
September,2016,East,District of Columbia,,,,,
October,2016,East,District of Columbia,,,,,
November,2016,East,District of Columbia,,,,,
December,2016,East,District of Columbia,,,,,
January,2017,East,District of Columbia,,,,,
February,2017,East,District of Columbia,,,,,
March,2017,East,District of Columbia,,,,,
April,2017,East,District of Columbia,,,,,
May,2017,East,District of Columbia,83.15,46.167,4,4,4
June,2017,East,District of Columbia,,,,,
July,2017,East,District of Columbia,,,,,
August,2017,East,District of Columbia,,,,,
September,2017,East,District of Columbia,,,,,
October,2017,East,District of Columbia,,,,,
November,2017,East,District of Columbia,,,,,
December,2017,East,District of Columbia,33.92,20.6912,1,1,1
January,2018,East,District of Columbia,77.76,42.696,2,2,2
February,2018,East,District of Columbia,,,,,
March,2018,East,District of Columbia,,,,,
April,2018,East,District of Columbia,,,,,
May,2018,East,District of Columbia,,,,,
June,2018,East,District of Columbia,,,,,
July,2018,East,District of Columbia,,,,,
August,2018,East,District of Columbia,,,,,
September,2018,East,District of Columbia,,,,,
October,2018,East,District of Columbia,,,,,
November,2018,East,District of Columbia,,,,,
December,2018,East,District of Columbia,,,,,
January,2015,East,Maine,,,,,
February,2015,East,Maine,,,,,
March,2015,East,Maine,,,,,
April,2015,East,Maine,,,,,
May,2015,East,Maine,,,,,
June,2015,East,Maine,,,,,
July,2015,East,Maine,,,,,
August,2015,East,Maine,617.12,360.1934,3,3,3
September,2015,East,Maine,,,,,
October,2015,East,Maine,,,,,
November,2015,East,Maine,,,,,
December,2015,East,Maine,,,,,
January,2016,East,Maine,,,,,
February,2016,East,Maine,,,,,
March,2016,East,Maine,,,,,
April,2016,East,Maine,,,,,
May,2016,East,Maine,,,,,
June,2016,East,Maine,106.08,73.8142,3,3,3
July,2016,East,Maine,,,,,
August,2016,East,Maine,,,,,
September,2016,East,Maine,,,,,
October,2016,East,Maine,,,,,
November,2016,East,Maine,,,,,
December,2016,East,Maine,,,,,
January,2017,East,Maine,,,,,
February,2017,East,Maine,,,,,
March,2017,East,Maine,,,,,
April,2017,East,Maine,,,,,
May,2017,East,Maine,,,,,
June,2017,East,Maine,,,,,
July,2017,East,Maine,,,,,
August,2017,East,Maine,,,,,
September,2017,East,Maine,547.33,382.0362,2,2,2
October,2017,East,Maine,,,,,
November,2017,East,Maine,,,,,
December,2017,East,Maine,,,,,
January,2018,East,Maine,,,,,
February,2018,East,Maine,,,,,
March,2018,East,Maine,,,,,
April,2018,East,Maine,,,,,
May,2018,East,Maine,,,,,
June,2018,East,Maine,,,,,
July,2018,East,Maine,,,,,
August,2018,East,Maine,,,,,
September,2018,East,Maine,,,,,
October,2018,East,Maine,,,,,
November,2018,East,Maine,,,,,
December,2018,East,Maine,,,,,
January,2015,East,Maryland,,,,,
February,2015,East,Maryland,,,,,
March,2015,East,Maryland,,,,,
April,2015,East,Maryland,534.79,389.41540000000003,5,5,5
May,2015,East,Maryland,116.28,59.3028,1,1,1
June,2015,East,Maryland,,,,,
July,2015,East,Maryland,,,,,
August,2015,East,Maryland,,,,,
September,2015,East,Maryland,587.14,473.5466,3,3,3
October,2015,East,Maryland,,,,,
November,2015,East,Maryland,,,,,
December,2015,East,Maryland,463.04,293.9888,4,4,4
January,2016,East,Maryland,,,,,
February,2016,East,Maryland,2541.98,1270.99,1,1,1
March,2016,East,Maryland,89.82,64.6704,1,1,1
April,2016,East,Maryland,,,,,
May,2016,East,Maryland,,,,,
June,2016,East,Maryland,,,,,
July,2016,East,Maryland,1433.57,886.2166000000001,12,12,12
August,2016,East,Maryland,77.58,57.4092,1,1,1
September,2016,East,Maryland,2503.82,2006.3791999999999,5,5,5
October,2016,East,Maryland,26.82,13.8726,2,2,2
November,2016,East,Maryland,,,,,
December,2016,East,Maryland,1169.52,829.7401,8,8,8
January,2017,East,Maryland,405.92,300.379,2,2,2
February,2017,East,Maryland,664.221,678.7082999999999,5,5,5
March,2017,East,Maryland,2073.35,1433.1615000000002,3,3,3
April,2017,East,Maryland,25.06,13.2818,1,1,1
May,2017,East,Maryland,,,,,
June,2017,East,Maryland,,,,,
July,2017,East,Maryland,122.34,74.9916,4,4,4
August,2017,East,Maryland,,,,,
September,2017,East,Maryland,430.94,362.2598,4,4,4
October,2017,East,Maryland,337.532,351.3532,2,2,2
November,2017,East,Maryland,297.73,187.35680000000002,2,2,2
December,2017,East,Maryland,352.47,255.7275,2,2,2
January,2018,East,Maryland,,,,,
February,2018,East,Maryland,58.85,38.2314,3,3,3
March,2018,East,Maryland,223.38,136.551,2,2,2
April,2018,East,Maryland,908.82,681.615,1,1,1
May,2018,East,Maryland,634.18,491.5312,8,8,8
June,2018,East,Maryland,,,,,
July,2018,East,Maryland,89.95,46.774,1,1,1
August,2018,East,Maryland,2411.8,1800.4328000000003,6,6,6
September,2018,East,Maryland,390.49,217.8714,4,4,4
October,2018,East,Maryland,57.64,30.595200000000002,2,2,2
November,2018,East,Maryland,4676.49,3227.391,10,10,10
December,2018,East,Maryland,,,,,
January,2015,East,Massachusetts,,,,,
February,2015,East,Massachusetts,,,,,
March,2015,East,Massachusetts,,,,,
April,2015,East,Massachusetts,73.2,67.464,2,2,2
May,2015,East,Massachusetts,2503.086,2119.5942,8,8,8
June,2015,East,Massachusetts,,,,,
July,2015,East,Massachusetts,,,,,
August,2015,East,Massachusetts,,,,,
September,2015,East,Massachusetts,2350.63,1794.5699999999997,5,5,5
October,2015,East,Massachusetts,1885.27,1572.3228000000001,3,3,3
November,2015,East,Massachusetts,,,,,
December,2015,East,Massachusetts,3087.92,2284.5865999999996,8,8,8
January,2016,East,Massachusetts,6.68,4.676,1,1,1
February,2016,East,Massachusetts,25.87,14.134,2,2,2
March,2016,East,Massachusetts,,,,,
April,2016,East,Massachusetts,281.16,191.96059999999997,5,5,5
May,2016,East,Massachusetts,,,,,
June,2016,East,Massachusetts,,,,,
July,2016,East,Massachusetts,431.48,309.05,3,3,3
August,2016,East,Massachusetts,653.64,374.721,4,4,4
September,2016,East,Massachusetts,3347.02,2392.2396,11,11,11
October,2016,East,Massachusetts,334.43,230.509,2,2,2
November,2016,East,Massachusetts,1466.188,1111.9144999999999,15,15,15
December,2016,East,Massachusetts,79.52,40.8148,3,3,3
January,2017,East,Massachusetts,,,,,
February,2017,East,Massachusetts,,,,,
March,2017,East,Massachusetts,475.53,341.0246,5,5,5
April,2017,East,Massachusetts,,,,,
May,2017,East,Massachusetts,,,,,
June,2017,East,Massachusetts,819.82,564.1338000000001,2,2,2
July,2017,East,Massachusetts,,,,,
August,2017,East,Massachusetts,549.775,383.59810000000004,6,6,6
September,2017,East,Massachusetts,395.34,306.8808,4,4,4
October,2017,East,Massachusetts,,,,,
November,2017,East,Massachusetts,,,,,
December,2017,East,Massachusetts,1724.799,1310.7488999999998,7,7,7
January,2018,East,Massachusetts,12.7,6.858,1,1,1
February,2018,East,Massachusetts,,,,,
March,2018,East,Massachusetts,160.53,91.6922,3,3,3
April,2018,East,Massachusetts,,,,,
May,2018,East,Massachusetts,87.6,45.552,1,1,1
June,2018,East,Massachusetts,,,,,
July,2018,East,Massachusetts,328.54,205.00279999999998,5,5,5
August,2018,East,Massachusetts,1959.324,2046.8975,5,5,5
September,2018,East,Massachusetts,1926.4,1343.5067,7,7,7
October,2018,East,Massachusetts,111.19,77.6753,3,3,3
November,2018,East,Massachusetts,281.63,156.22570000000002,3,3,3
December,2018,East,Massachusetts,3275.162,2458.4789,11,11,11
January,2015,East,New Hampshire,,,,,
February,2015,East,New Hampshire,,,,,
March,2015,East,New Hampshire,,,,,
April,2015,East,New Hampshire,,,,,
May,2015,East,New Hampshire,211.66,130.2606,3,3,3
June,2015,East,New Hampshire,,,,,
July,2015,East,New Hampshire,,,,,
August,2015,East,New Hampshire,,,,,
September,2015,East,New Hampshire,,,,,
October,2015,East,New Hampshire,292.82,265.6244,2,2,2
November,2015,East,New Hampshire,,,,,
December,2015,East,New Hampshire,,,,,
January,2016,East,New Hampshire,,,,,
February,2016,East,New Hampshire,35.88,19.734,1,1,1
March,2016,East,New Hampshire,688.46,365.049,2,2,2
April,2016,East,New Hampshire,,,,,
May,2016,East,New Hampshire,,,,,
June,2016,East,New Hampshire,,,,,
July,2016,East,New Hampshire,,,,,
August,2016,East,New Hampshire,,,,,
September,2016,East,New Hampshire,68.62,36.3686,1,1,1
October,2016,East,New Hampshire,34.44,17.22,1,1,1
November,2016,East,New Hampshire,,,,,
December,2016,East,New Hampshire,3517.634,3005.5765,4,4,4
January,2017,East,New Hampshire,724.55,579.8818,3,3,3
February,2017,East,New Hampshire,,,,,
March,2017,East,New Hampshire,159.98,102.3872,1,1,1
April,2017,East,New Hampshire,,,,,
May,2017,East,New Hampshire,,,,,
June,2017,East,New Hampshire,,,,,
July,2017,East,New Hampshire,,,,,
August,2017,East,New Hampshire,27.93,19.8303,1,1,1
September,2017,East,New Hampshire,,,,,
October,2017,East,New Hampshire,,,,,
November,2017,East,New Hampshire,,,,,
December,2017,East,New Hampshire,21.12,14.5728,1,1,1
January,2018,East,New Hampshire,,,,,
February,2018,East,New Hampshire,,,,,
March,2018,East,New Hampshire,,,,,
April,2018,East,New Hampshire,,,,,
May,2018,East,New Hampshire,247.44,145.9896,1,1,1
June,2018,East,New Hampshire,,,,,
July,2018,East,New Hampshire,102.3,75.702,1,1,1
August,2018,East,New Hampshire,1077.47,749.7938,3,3,3
September,2018,East,New Hampshire,82.22,57.730599999999995,2,2,2
October,2018,East,New Hampshire,,,,,
November,2018,East,New Hampshire,,,,,
December,2018,East,New Hampshire,,,,,
January,2015,East,New Jersey,,,,,
February,2015,East,New Jersey,115.36,65.7552,1,1,1
March,2015,East,New Jersey,,,,,
April,2015,East,New Jersey,,,,,
May,2015,East,New Jersey,,,,,
June,2015,East,New Jersey,1661.37,1198.2997,4,4,4
July,2015,East,New Jersey,1448.18,1012.4167,7,7,7
August,2015,East,New Jersey,196.21,98.105,1,1,1
September,2015,East,New Jersey,424.36,288.12940000000003,3,3,3
October,2015,East,New Jersey,264.92,228.3922,2,2,2
November,2015,East,New Jersey,81.88,56.982800000000005,2,2,2
December,2015,East,New Jersey,,,,,
January,2016,East,New Jersey,,,,,
February,2016,East,New Jersey,286.79,212.2246,1,1,1
March,2016,East,New Jersey,,,,,
April,2016,East,New Jersey,,,,,
May,2016,East,New Jersey,345.26,190.8386,3,3,3
June,2016,East,New Jersey,,,,,
July,2016,East,New Jersey,11.12,8.2288,1,1,1
August,2016,East,New Jersey,,,,,
September,2016,East,New Jersey,582.89,339.59900000000005,8,8,8
October,2016,East,New Jersey,235.97,135.038,3,3,3
November,2016,East,New Jersey,2643.06,1903.5413999999998,2,2,2
December,2016,East,New Jersey,,,,,
January,2017,East,New Jersey,370.1,229.7947,7,7,7
February,2017,East,New Jersey,227.96,191.4864,1,1,1
March,2017,East,New Jersey,244.006,275.0782,1,1,1
April,2017,East,New Jersey,9173.13,6773.7592,4,4,4
May,2017,East,New Jersey,1562.086,1204.9674,6,6,6
June,2017,East,New Jersey,475.86,300.12559999999996,5,5,5
July,2017,East,New Jersey,815.12,462.3604,3,3,3
August,2017,East,New Jersey,,,,,
September,2017,East,New Jersey,53.37,32.5503,2,2,2
October,2017,East,New Jersey,1753.04,1490.7033999999999,9,9,9
November,2017,East,New Jersey,1275.31,917.6725,8,8,8
December,2017,East,New Jersey,2033.41,1157.2694000000001,3,3,3
January,2018,East,New Jersey,,,,,
February,2018,East,New Jersey,178.21,132.4996,2,2,2
March,2018,East,New Jersey,8.94,6.5262,1,1,1
April,2018,East,New Jersey,2727.64,2065.514,6,6,6
May,2018,East,New Jersey,283.34,212.5842,5,5,5
June,2018,East,New Jersey,249.79,172.9872,2,2,2
July,2018,East,New Jersey,6.48,3.3048,1,1,1
August,2018,East,New Jersey,97.84,72.4016,1,1,1
September,2018,East,New Jersey,1623.26,1104.1458,7,7,7
October,2018,East,New Jersey,2408.46,2175.9522,6,6,6
November,2018,East,New Jersey,46.26,34.2324,1,1,1
December,2018,East,New Jersey,1853.33,1237.3313,11,11,11
January,2015,East,New York,3.928,2.4023,1,1,1
February,2015,East,New York,64.96,55.216,1,1,1
March,2015,East,New York,4936.218,5476.020699999999,21,21,21
April,2015,East,New York,490.672,275.52549999999997,5,5,5
May,2015,East,New York,1168.624,804.7502,12,12,12
June,2015,East,New York,5743.314,5221.0172,21,21,21
July,2015,East,New York,1219.668,847.5366,11,11,11
August,2015,East,New York,988.682,745.0853,11,11,11
September,2015,East,New York,16816.423,12633.2025,47,47,47
October,2015,East,New York,721.082,668.7569000000001,3,3,3
November,2015,East,New York,20776.898,15374.871899999998,42,42,42
December,2015,East,New York,11858.018,8922.757099999999,19,19,19
January,2016,East,New York,1108.272,1452.6772,4,4,4
February,2016,East,New York,781.072,557.5156999999999,5,5,5
March,2016,East,New York,3732.811,2794.5517999999997,17,17,17
April,2016,East,New York,1502.592,1046.4777000000001,19,19,19
May,2016,East,New York,4803.414,3378.1575000000003,20,20,20
June,2016,East,New York,6133.124,4290.524200000001,8,8,8
July,2016,East,New York,7345.49,5941.735600000002,21,21,21
August,2016,East,New York,4161.61,3255.9613999999992,20,20,20
September,2016,East,New York,16637.568,13894.914,55,55,55
October,2016,East,New York,4534.558,3488.4350999999997,14,14,14
November,2016,East,New York,19625.778,13504.698299999998,45,45,45
December,2016,East,New York,9954.398,7423.8559,34,34,34
January,2017,East,New York,1065.994,1038.2485,9,9,9
February,2017,East,New York,2011.888,1517.6555999999998,15,15,15
March,2017,East,New York,7909.336,5330.030000000001,18,18,18
April,2017,East,New York,5107.188,4096.22,36,36,36
May,2017,East,New York,6984.044,4970.19,24,24,24
June,2017,East,New York,6057.88,5255.172700000001,33,33,33
July,2017,East,New York,2513.984,2018.7038,17,17,17
August,2017,East,New York,5015.506,3979.3603000000003,18,18,18
September,2017,East,New York,10702.824,7494.233399999998,34,34,34
October,2017,East,New York,4461.106,3657.0526,21,21,21
November,2017,East,New York,6690.28,5230.6162,45,45,45
December,2017,East,New York,13324.072,10581.769399999997,50,50,50
January,2018,East,New York,800.916,602.7725,4,4,4
February,2018,East,New York,623.734,466.2346,7,7,7
March,2018,East,New York,3915.022,2986.8966,30,30,30
April,2018,East,New York,1843.998,1516.6657,18,18,18
May,2018,East,New York,2923.318,2109.9939999999997,16,16,16
June,2018,East,New York,10403.588,7973.1559,31,31,31
July,2018,East,New York,2384.3,1850.2578,21,21,21
August,2018,East,New York,6669.652,4509.790999999999,18,18,18
September,2018,East,New York,14737.803,11690.928,55,55,55
October,2018,East,New York,24725.044,17085.762000000006,35,35,35
November,2018,East,New York,18190.242,13522.043699999997,64,64,64
December,2018,East,New York,6705.378,5234.9215,53,53,53
January,2015,East,Ohio,40.846,29.3744,2,2,2
February,2015,East,Ohio,19.456,15.8512,1,1,1
March,2015,East,Ohio,725.07,1064.1992,8,8,8
April,2015,East,Ohio,976.254,1123.1515000000002,8,8,8
May,2015,East,Ohio,971.1,1127.5880000000002,4,4,4
June,2015,East,Ohio,48.984,39.0173,2,2,2
July,2015,East,Ohio,53.344,79.5288,2,2,2
August,2015,East,Ohio,330.094,336.6718,11,11,11
September,2015,East,Ohio,1299.194,1227.0964,10,10,10
October,2015,East,Ohio,2663.404,3563.0424,12,12,12
November,2015,East,Ohio,3932.036,4561.920000000001,14,14,14
December,2015,East,Ohio,3075.068,3067.2731000000003,19,19,19
January,2016,East,Ohio,2975.462,4416.6068,13,13,13
February,2016,East,Ohio,535.53,652.7623,6,6,6
March,2016,East,Ohio,,,,,
April,2016,East,Ohio,1262.174,1585.7346,7,7,7
May,2016,East,Ohio,460.074,516.3157,5,5,5
June,2016,East,Ohio,544.972,899.2146,4,4,4
July,2016,East,Ohio,,,,,
August,2016,East,Ohio,1106.668,1104.7450999999999,6,6,6
September,2016,East,Ohio,97.684,83.5858,5,5,5
October,2016,East,Ohio,480.584,465.7898,6,6,6
November,2016,East,Ohio,893.524,1032.6949,9,9,9
December,2016,East,Ohio,7753.754,10825.866600000001,22,22,22
January,2017,East,Ohio,330.164,303.86109999999996,7,7,7
February,2017,East,Ohio,188.176,151.10000000000002,3,3,3
March,2017,East,Ohio,800.357,1236.7504999999999,5,5,5
April,2017,East,Ohio,1006.016,945.2201,8,8,8
May,2017,East,Ohio,3323.405,3308.7463000000002,18,18,18
June,2017,East,Ohio,548.96,513.586,2,2,2
July,2017,East,Ohio,1879.776,1652.3015,6,6,6
August,2017,East,Ohio,1056.634,1071.6932,7,7,7
September,2017,East,Ohio,2050.79,2219.3826,21,21,21
October,2017,East,Ohio,927.456,1219.3672,4,4,4
November,2017,East,Ohio,10642.839,17470.967200000003,34,34,34
December,2017,East,Ohio,1993.437,2216.7296000000006,17,17,17
January,2018,East,Ohio,242.87,267.5537,4,4,4
February,2018,East,Ohio,2046.932,2118.1009,11,11,11
March,2018,East,Ohio,779.009,826.0088,7,7,7
April,2018,East,Ohio,2231.366,2335.5766,13,13,13
May,2018,East,Ohio,505.331,654.9590999999999,10,10,10
June,2018,East,Ohio,1844.1,1782.3668000000002,17,17,17
July,2018,East,Ohio,3437.14,3818.2511,14,14,14
August,2018,East,Ohio,719.55,648.836,6,6,6
September,2018,East,Ohio,3761.582,3882.2534999999993,28,28,28
October,2018,East,Ohio,1167.508,1153.1644,6,6,6
November,2018,East,Ohio,4523.492,5540.802900000001,25,25,25
December,2018,East,Ohio,2005.97,1921.5032,20,20,20
January,2015,East,Pennsylvania,381.46,433.5951,6,6,6
February,2015,East,Pennsylvania,,,,,
March,2015,East,Pennsylvania,282.1,207.0436,4,4,4
April,2015,East,Pennsylvania,960.01,1398.7895999999998,9,9,9
May,2015,East,Pennsylvania,2251.893,2231.5363,6,6,6
June,2015,East,Pennsylvania,3218.118,3262.8225,15,15,15
July,2015,East,Pennsylvania,352.244,395.56820000000005,6,6,6
August,2015,East,Pennsylvania,858.772,1083.7462,2,2,2
September,2015,East,Pennsylvania,3759.582,4656.8982000000005,25,25,25
October,2015,East,Pennsylvania,1001.122,934.0852,9,9,9
November,2015,East,Pennsylvania,3830.717,4486.744600000001,19,19,19
December,2015,East,Pennsylvania,3350.13,3480.2362,14,14,14
January,2016,East,Pennsylvania,,,,,
February,2016,East,Pennsylvania,97.691,90.0505,3,3,3
March,2016,East,Pennsylvania,693.11,774.0422,10,10,10
April,2016,East,Pennsylvania,1692.54,1931.0885999999998,12,12,12
May,2016,East,Pennsylvania,1705.236,1635.8781999999999,16,16,16
June,2016,East,Pennsylvania,628.912,520.2529,12,12,12
July,2016,East,Pennsylvania,1514.108,1493.9587,14,14,14
August,2016,East,Pennsylvania,2545.704,3061.6823000000004,16,16,16
September,2016,East,Pennsylvania,5902.135,7974.133700000001,23,23,23
October,2016,East,Pennsylvania,100.688,84.8352,3,3,3
November,2016,East,Pennsylvania,3426.751,4249.8844,14,14,14
December,2016,East,Pennsylvania,2203.941,2551.3544,14,14,14
January,2017,East,Pennsylvania,109.252,187.946,2,2,2
February,2017,East,Pennsylvania,57.576,35.785,1,1,1
March,2017,East,Pennsylvania,3634.438,4724.788200000001,19,19,19
April,2017,East,Pennsylvania,1166.504,1469.1306,8,8,8
May,2017,East,Pennsylvania,9507.088,8528.9368,11,11,11
June,2017,East,Pennsylvania,2284.986,2395.6557999999995,16,16,16
